x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
3.284,23.172,6.522,0.975,20.075,13.485,46.923,40.683,30.61,54.057
2.743,20.436,5.957,0.885,16.652,11.74,41.721,34.101,27.354,48.706
1.641,11.377,2.916,0.36,10.686,6.733,23.591,21.603,15.511,26.165
2.181,15.702,4.284,0.599,13.438,9.555,31.456,27.068,22.124,36.3
1.447,10.987,2.852,0.355,9.589,6.309,22.785,19.181,14.129,26.254
1.111,8.345,2.172,0.34,6.778,4.566,17.016,13.812,10.511,19.647
1.11,6.624,1.615,0.178,8.247,4.648,13.862,16.469,11.083,15.529
0.855,7.765,2.303,0.238,4.7,3.815,16.046,10.326,9.653,18.479
0.223,3.803,1.186,0.045,1.143,1.534,8.436,2.538,3.847,9.087
1.928,11.921,3.068,0.505,13.023,7.729,24.64,25.756,17.42,28.372
2.123,11.599,2.325,0.376,15.244,9.2,23.596,29.355,19.737,26.676
2.439,17.246,4.508,0.593,15.472,10.529,35.27,31.365,24.172,40.379
2.119,16.444,4.563,0.63,12.738,8.827,33.85,26.136,20.164,38.564
1.249,6.895,1.533,0.143,8.492,5.626,14.328,17.279,12.443,15.638
2.864,21.573,6.335,0.934,17.516,11.98,43.749,35.33,27.77,51.009
3.001,21.035,5.965,0.946,18.9,12.815,42.973,38.062,29,50.133
2.237,15.986,4.296,0.602,14.071,9.628,32.512,28.711,22.295,37.052
1.651,11.874,3.139,0.388,10.502,7.579,24.283,21.674,17.638,27.515
2.006,12.854,3.086,0.363,13.928,8.222,26.089,26.952,18.848,29.184
1.578,7.982,1.23,0.204,12.269,6.869,16.928,23.716,14.763,19.237
1.508,9.614,2.219,0.277,10.839,6.29,19.695,21.464,14.682,22.55
1.038,7.065,1.603,0.247,7.208,4.447,15.091,13.972,10.157,17.005
1.043,7.311,1.814,0.174,6.607,4.832,15.594,13.57,10.673,17.043
2.992,22.033,6.453,0.967,18.474,12.37,44.665,37.003,28.092,52.347
3.523,23.087,5.82,0.957,22.926,14.441,46.287,45.843,32.539,53.826
2.749,15.887,3.74,0.598,18.281,11.712,32.196,36.305,25.965,36.915
2.511,17.354,4.418,0.731,15.839,10.94,35.676,32.279,24.706,41.769
1.506,10.499,2.529,0.34,10.21,6.867,21.905,20.629,15.175,24.734
1.146,6.157,1.273,0.092,8.111,5.022,13.015,16.203,11.645,13.671
2.08,12.951,2.939,0.463,14.575,9.153,26.802,28.254,20.063,30.951
1.702,12.304,3.388,0.509,11.126,7.008,24.766,22.171,16.274,28.497
1.164,6.104,1.172,0.088,8.562,5.485,13.179,16.682,12.354,14.245
2.128,13.243,3.292,0.528,14.033,9.186,26.87,28.364,20.155,31.117
3.013,21.975,6.411,0.992,18.664,12.493,44.19,37.878,28.621,51.358
1.374,10.481,2.788,0.395,8.482,5.586,21.53,17.709,13.094,24.821
1.011,9.738,2.891,0.336,5.254,4.195,20.4,11.703,10.122,23.542
2.844,18.948,4.891,0.805,17.919,11.416,38.406,35.626,25.616,44.759
2.713,19.837,5.457,0.754,17.017,11.266,40.402,33.978,26.119,45.708
1.118,7.921,2.095,0.313,6.875,4.981,16.159,14.388,11.845,19.328
2.466,17.324,4.763,0.634,15.353,10.239,35.146,31.354,23.491,39.815
1.913,13.977,3.864,0.54,12.33,8.651,28.921,24.865,19.359,32.94
0.987,9.009,2.588,0.297,6.268,4.703,18.672,12.403,10.706,20.963
0.893,4.65,0.754,0.111,6.612,3.574,9.917,12.779,7.788,11.579
1.224,9.88,2.658,0.313,8.079,4.906,20.459,16.643,11.256,22.997
2.123,12.637,2.827,0.457,14.944,8.804,25.895,28.992,19.871,29.212
2.278,16.711,4.683,0.659,14.183,9.166,34.296,28.78,21.082,39.344
1.196,9.029,2.48,0.254,7.909,5.025,18.195,15.634,12.056,20.637
2.043,15.402,4.174,0.641,12.316,8.31,31.422,24.817,19.63,35.993
1.156,7.411,1.716,0.2,8.31,5.193,15.451,16.49,11.708,17.407
2.633,16.952,4.155,0.658,17.756,11.204,34.442,35.397,25.399,39.983
3.116,20.412,5.088,0.778,20.116,12.603,41.08,39.746,28.457,46.969
2.402,18.938,5.392,0.78,13.836,10.589,38,28.536,24.768,44.24
2.27,15.899,4.38,0.61,14.193,9.566,32.29,28.445,22.199,37.164
1.257,9.033,2.253,0.309,8.635,5.437,18.626,17.395,12.874,20.861
2.324,17.814,5.17,0.698,14.081,10.017,36.331,28.123,23.117,41.49
2.894,19.785,5.48,0.86,17.732,12.402,39.845,35.507,28.481,46.666
2.261,15.774,4.134,0.625,14.363,9.674,31.648,28.946,22.353,36.751
3.28,24.153,6.844,0.982,20.267,13.41,49.234,40.288,30.656,56.423
3.804,25.284,6.806,0.977,23.858,15.822,51.08,47.301,35.379,58.209
1.232,6.59,1.198,0.167,9.312,5.43,13.836,18.273,11.649,15.144
1.065,4.724,0.726,0.023,8.469,5.11,10.021,16.691,11.376,10.533
1.322,8.401,1.917,0.161,9.118,5.411,17.739,17.947,12.574,19.538
3.423,22.791,6.075,0.923,21.375,13.959,46.164,42.946,31.077,52.671
3.477,22.848,5.939,0.954,22.414,14.821,45.776,44.919,32.898,53.124
1.443,8.662,2.121,0.211,10.144,6.742,17.883,20.203,14.937,19.976
1.206,9.135,2.391,0.361,7.41,5.563,18.943,15.163,13.289,21.928
1.707,13.744,3.817,0.549,10.588,7.666,28.328,21.459,17.554,32.723
1.159,8.205,2.313,0.272,7.783,4.653,17.244,16.053,10.806,19.271
1.87,12.495,3.09,0.461,12.377,7.752,25.161,24.5,17.197,28.611
2.352,17.339,4.666,0.696,15,9.953,34.709,29.848,23.181,40.555
1.691,12.59,3.736,0.5,10.513,7.563,25.557,20.898,17.952,29.462
3.107,20.068,4.941,0.716,19.922,13.178,40.476,39.533,29.192,46.22
2.497,15.392,3.596,0.526,17.306,10.749,31.127,34.423,24.185,35.445
0.379,3.117,0.806,0.001,2.985,2.099,6.577,5.947,5.393,7.323
1.335,10.914,3.184,0.395,7.936,5.352,22.006,16.65,12.424,25.379
1.742,12.865,3.521,0.492,10.536,7.479,25.784,21.935,17.076,29.637
1.804,11.463,2.93,0.403,11.584,7.598,23.814,23.62,17.297,27.361
1.789,11.083,2.511,0.354,12.373,8.113,22.85,24.622,18.393,25.533
1.759,12.333,3.123,0.501,11.803,7.101,25.468,23.572,16.442,29.692
2.041,12.11,2.866,0.445,14.124,9.05,24.224,27.733,19.998,27.68
0.954,5.899,1.134,0.09,7.489,4.06,12.235,14.401,9.28,13.832
1.632,10.118,2.286,0.274,11.015,7.252,20.711,21.87,15.89,23.035
3.118,22.553,6.432,0.943,18.714,13.308,45.158,37.861,30.413,52.21
0.409,3.306,0.582,0.027,3.486,1.746,7.585,7.378,3.809,7.808
0.266,3.917,1.106,0.04,1.737,1.762,8.751,3.889,4.375,9.941
0.944,7.215,2.054,0.283,6.075,4.726,14.62,12.004,10.956,17.545
2.548,15.761,3.863,0.582,17.123,10.742,31.8,33.338,24.033,36.192
3.753,24.662,6.659,0.991,24.137,15.763,50.04,47.714,35.595,57.003
3,20.964,5.976,0.993,18.38,12.044,42.58,37.116,27.169,50.311
3.011,22.701,6.551,0.993,18.146,12.335,45.434,36.632,28.432,53.008
1.222,7.299,1.367,0.11,8.756,5.665,14.99,17.017,12.726,16.034
2.704,18.14,4.92,0.664,17.24,11.817,37.022,34.356,26.779,42.151
1.86,14.19,3.942,0.524,11.744,7.992,28.888,23.351,18.184,32.896
0.784,5.133,1.16,0.173,5.401,3.891,11.214,10.792,9.324,12.985
3.417,23.098,6.087,0.943,21.572,13.836,47.113,42.946,31.551,54.71
0.988,7.02,1.545,0.242,7.293,4.222,14.186,14.187,9.714,16.199
3.66,23.782,6.219,0.999,23.711,15.156,47.627,47.354,33.519,54.858
1.829,12.772,3.64,0.583,11.338,7.662,26.011,22.838,18.082,30.418
1.233,6.924,1.445,0.183,8.86,5.453,14.135,17.75,12.552,15.817
1.696,12.371,3.22,0.387,10.433,7.657,24.894,21.196,17.509,27.856
0.668,6.579,1.974,0.19,4.085,3.421,13.634,9.068,8.612,15.556
1.556,11.737,3.339,0.411,9.93,6.754,23.893,20.317,15.447,27.134
1.835,13.847,3.686,0.595,11.642,8.154,28.075,23.888,18.766,32.407
2.738,19.681,5.276,0.717,17.211,11.69,39.907,34.391,26.734,45.882
2.272,13.774,3.399,0.487,15.321,9.352,28.046,30.096,21.028,31.583
0.97,7.616,2.175,0.31,6.376,4.259,15.816,12.712,9.867,18.553
2.477,16.204,4.111,0.577,16.485,10.597,33.038,32.266,23.681,37.476
1.5,10.219,2.853,0.442,9.804,6.279,21.284,19.711,14.861,25.021
1.999,12.973,3.079,0.36,13.837,8.764,26.006,26.771,19.75,28.973
1.296,8.586,2.117,0.321,8.949,6.078,17.448,18.1,13.83,19.785
1.032,7.408,1.852,0.208,6.426,4.594,15.475,13.598,10.846,16.975
1.897,11.484,2.853,0.451,12.59,8.501,23.23,24.58,18.821,27.198
2.019,14.027,3.663,0.492,13.071,8.13,28.094,26.332,18.927,32.139
3.046,21.238,5.757,0.899,18.858,13.099,42.84,37.811,29.492,49.701
2.572,17.999,4.642,0.729,16.005,10.933,36.098,31.998,25.171,42.181
2.526,18.498,5.007,0.77,15.993,10.172,37.593,32.399,23.216,43.807
2.017,11.586,2.474,0.375,14.088,8.725,23.458,28.086,18.946,26.758
1.17,10.186,2.999,0.344,6.777,5.078,20.437,13.778,12.626,22.938
2.835,18.07,4.389,0.655,19.036,12.24,36.492,37.502,27.429,41.29
2.626,16.692,4.293,0.711,17.404,10.677,34.34,34.123,23.964,39.775
1.058,6.394,1.602,0.114,7.595,4.303,13.431,15.288,9.482,15.206
1.037,6.417,1.413,0.133,7.077,5.125,13.189,14.427,11.133,14.974
2.104,13.219,3.398,0.456,13.446,8.878,26.849,27.086,20.078,30.976
0.557,5.199,1.676,0.16,3.729,3.196,11.335,7.774,7.72,13.147
3.512,24.509,6.624,0.962,21.724,14.24,49.873,43.282,32.61,56.888
3.053,21.223,5.79,0.838,19.246,12.367,43.013,38.964,28.283,49.533
1.631,12.786,3.593,0.52,10.305,6.543,26.534,20.654,15.159,31.127
1.022,7.091,1.908,0.218,6.639,5.052,14.875,13.731,12.025,16.82
0.642,4.823,1.014,0.135,4.206,2.775,9.671,8.952,7.048,10.918
3.336,24.259,6.776,0.979,20.16,13.557,48.91,40.835,31.145,55.998
3.028,19.001,4.827,0.707,20.058,12.589,38.376,40.123,27.872,43.582
3.135,20.416,5.296,0.86,20.2,12.959,41.491,40.353,29.011,47.705
1.479,11.219,3.017,0.387,9.544,6.118,23.188,19.61,14.587,26.377
1.696,10.044,2.3,0.251,11.663,7.74,21.064,22.918,17.623,23.507
0.982,8.024,2.428,0.299,6.326,4.393,16.059,12.774,10.16,18.983
2.866,20.054,5.448,0.857,17.852,11.931,40.475,36.303,26.61,46.474
1.963,12.584,3.235,0.473,12.832,8.572,25.619,25.395,19.288,29.209
2.344,17.377,4.772,0.663,14.503,10.259,35.078,29.017,23.616,40.717
3.189,20.887,5.57,0.806,20.27,12.945,41.913,40.407,28.799,48.159
1.503,8.725,1.818,0.253,10.668,6.394,18.283,21.379,14.008,20.569
0.952,5.293,0.952,0.08,7.22,3.952,10.676,14.557,8.787,12.067
2.281,17.531,4.934,0.733,13.674,9.624,35.219,27.807,21.91,40.829
3.653,23.464,6.011,0.961,23.601,15.397,47.36,46.897,34.042,54.268
2.936,20.981,5.781,0.954,18.079,12.023,42.004,36.291,27.107,49.308
1.774,13.02,3.795,0.49,11.259,7.796,26.722,22.665,17.867,30.355
2.527,16.152,3.826,0.632,16.95,10.751,32.739,33.472,24.154,37.689
3.071,19.5,5.056,0.733,20.394,12.794,39.941,39.873,28.92,45.567
3.479,21.863,5.619,0.902,22.228,14.389,44.619,44.098,32.103,51.647
0.609,5.234,1.386,0.162,4.258,2.654,10.509,8.474,6.872,12.375
1.882,12.377,3.25,0.406,11.984,8.06,25.193,23.892,18.661,28.453
1.346,10.798,3.029,0.417,8.146,5.542,21.597,16.737,13.085,24.838
2.128,15.711,4.442,0.696,13.119,8.755,31.609,26.746,20.55,36.568
2.068,12.298,2.901,0.425,14.641,8.65,25.559,29.03,19.032,28.863
2.822,20.881,6.083,0.858,17.047,11.798,41.902,34.053,27.237,48.05
2.663,19.533,5.628,0.847,16.607,11.07,39.71,33.647,25.436,46.086
1.059,6.089,1.286,0.07,7.807,4.586,12.461,15.304,10.808,13.103
0.985,7.411,2.15,0.302,5.834,3.987,15.798,12.171,9.823,18.075
3.751,24.279,6.362,0.98,24.487,15.404,49.372,48.157,34.202,56.323
0.331,3.516,1.155,0.036,2.33,1.778,7.278,4.849,4.14,7.817
2.354,14.383,3.522,0.492,15.925,10.182,29.466,31.862,22.606,33.449
2.873,21.033,5.737,0.952,17.404,12.231,42.396,34.922,27.637,49.42
2.992,19.158,4.893,0.811,19.604,12.529,38.77,38.6,27.609,44.762
1.871,9.948,1.951,0.294,13.345,7.994,20.226,25.876,17.067,22.606
2.543,15.412,3.858,0.596,16.67,10.791,31.102,33.539,23.846,35.533
1.354,9.476,2.652,0.431,8.908,5.909,19.827,17.436,13.686,23.17
2.462,16.533,4.238,0.592,16.314,9.856,34.022,32.499,22.642,38.408
2.885,21.03,5.936,0.894,17.367,12.223,42.236,34.859,28.086,48.93
2.104,15.111,4.181,0.554,13.462,8.665,30.586,26.876,19.808,35.165
1.48,11.854,3.579,0.493,8.525,6.782,24.584,17.909,15.589,28.836
1.703,10.271,2.115,0.319,12.164,7.739,21.029,24.197,16.986,23.786
1.458,9.437,2.48,0.263,9.594,6.251,19.416,18.975,14.239,21.407
1.741,13.64,3.762,0.542,10.548,7.914,27.336,21.333,18.478,31.906
0.724,4.733,1.195,0.082,5.552,3.005,10.247,11.443,7.493,10.898
1.985,14.156,3.877,0.636,12.597,8.207,28.676,25.805,18.787,33.574
2.678,19.792,5.642,0.796,16.587,11.242,40.039,33.826,25.448,46.102
3.291,22.434,5.903,0.955,20.764,13.184,45.223,41.081,29.673,52.452
2.762,18.154,4.841,0.685,17.889,11.6,36.327,35.482,26.084,41.994
2.349,13.452,3.087,0.488,15.717,9.973,27.383,31.369,21.51,31.072
1.627,13.141,3.825,0.485,9.818,7.433,26.86,20.21,17.018,30.346
3.003,23.448,6.798,0.967,17.983,12.073,46.898,36.071,27.717,54.538
0.763,6.35,1.991,0.211,4.265,3.956,12.906,9.436,9.053,14.59
1.34,11.117,3.237,0.412,8.285,6.226,22.33,17.236,14.235,25.249
3.322,22.569,6.098,0.99,21.312,13.84,45.864,42.605,30.993,52.884
0.406,3.584,0.893,0.028,2.37,2.203,7.443,5.091,4.999,8.516
3.012,18.858,4.454,0.701,20.136,12.868,38.249,40.209,28.195,43.497
0.987,4.159,0.228,0.025,7.789,4.507,8.86,15.048,9.794,9.149
1.199,9.341,2.52,0.321,7.78,5.742,19.39,15.617,13.733,22.527
0.977,6.436,1.252,0.074,7.104,4.02,13.156,13.826,8.712,14.497
0.863,5.066,1.024,0.061,6.788,3.719,10.573,13.267,8.735,11.696
0.919,6.808,1.588,0.111,6.688,4.011,13.993,13.379,8.927,15.06
1.305,8.806,1.971,0.169,9.327,5.568,17.964,18.187,12.68,19.246
2.186,16.067,4.506,0.628,13.878,9.498,32.358,28.176,21.602,37.67
1.715,10.777,2.688,0.438,11.327,7.011,21.708,22.241,16.157,24.891
2.984,20.83,5.643,0.831,18.891,12.366,41.698,38.03,27.764,48.029
1.211,7.109,1.52,0.24,8.4,5.526,14.329,16.475,11.975,16.436
0.775,5.51,1.442,0.19,5.175,3.497,11.425,11.059,8.703,13.365
2.779,18.008,4.832,0.712,17.919,11.434,36.691,35.351,25.61,42.302
2.742,20.583,5.844,0.858,16.956,11.331,41.378,34.036,26.027,47.592
2.146,14.318,3.626,0.559,14.155,9.51,29.019,28.364,20.842,33.703
2.209,16.041,4.401,0.704,13.956,8.998,32.552,28.472,20.822,38.332
2.342,16.645,4.569,0.605,15.038,10.353,34.049,29.637,23.896,38.647
2.093,15.002,4.348,0.559,13.079,9.295,30.941,26.559,21.644,35.283
3.392,21.262,5.298,0.86,21.901,13.928,42.964,43.454,31.121,49.975
3.006,21.969,6.212,0.92,18.2,12.175,44.697,36.565,27.539,52.044
3.28,21.511,5.528,0.85,20.845,13.54,43.221,41.232,30.577,49.785
1.301,8.545,2.117,0.254,8.667,5.471,17.193,17.674,12.476,19.636
3.323,22.892,6.12,0.878,21.188,13.68,46.398,41.788,30.813,53.219
1.549,11.183,2.813,0.435,9.822,7.128,23.064,20.072,16.103,26.5
2.278,17.34,5.029,0.729,13.265,9.672,35.024,27.583,22.654,40.921
1.842,12.361,2.944,0.413,12.394,8.244,24.868,24.541,18.619,28.248
0.633,5.991,2.027,0.191,3.543,3.001,12.255,7.436,7.132,14.47
2.756,17.556,4.605,0.706,17.52,11.774,35.867,34.977,26.348,41.461
1.182,8.236,2.146,0.241,7.884,4.991,16.916,15.623,11.742,18.927
3.044,21.306,5.663,0.851,18.692,12.271,42.796,37.205,27.699,49.584
2.963,20.151,5.248,0.824,18.563,12.429,40.873,37.149,28.315,47.592
2.188,15.318,4.053,0.525,13.488,9.705,31.585,26.937,22.153,35.748
2.12,11.508,2.562,0.386,14.701,9.333,23.341,29.194,20.915,26.211
1.9,14.206,4.1,0.591,12.002,8.289,28.735,24.49,18.853,33.241
1.269,7.191,1.601,0.138,8.894,5.311,15.3,17.953,12.119,16.584
2.942,20.187,5.224,0.808,18.643,11.828,41.191,37.638,26.357,47.02
3.754,24.448,6.252,0.966,24.405,15.167,49.85,48.045,33.866,57.4
2.817,19.192,5.151,0.78,18.191,11.311,38.491,35.769,25.68,44.247
0.727,6.654,1.826,0.239,4.25,3.68,13.935,9.073,9.103,16.084
3.6,22.093,5.604,0.867,23.773,14.489,44.438,46.641,32.592,51.012
3.027,19.402,4.953,0.808,19.994,12.237,39.486,39.119,27.239,45.632
0.449,3.798,1.004,0.064,3.275,2.623,8.591,6.387,5.866,9.096
0.702,7.13,2.049,0.231,3.979,3.608,14.35,8.629,8.482,16.04
2.322,15.652,4.197,0.59,15.025,9.455,31.819,30.128,21.221,36.693
1.07,5.342,0.93,0.137,7.997,4.543,11.288,15.533,10.544,13.01
2.675,18.134,4.604,0.678,16.954,11.669,36.386,33.773,26.018,41.943
3.461,24.634,6.724,0.992,21.728,13.859,50.16,42.998,31.82,58.042
1.795,10.866,2.627,0.286,11.97,7.654,22.608,24.156,17.009,25.514
3.167,19.898,4.945,0.761,20.974,13.192,40.604,41.125,29.146,45.973
0.871,4.191,0.351,0.047,7.494,3.617,8.428,13.89,7.69,9.28
1.02,7.921,2.343,0.333,6.443,4.507,16.6,12.972,10.338,19.55
2.852,21.405,6.062,0.945,17.388,12.222,43.353,34.802,28.038,49.973
2.543,15.682,3.882,0.637,17.249,11.17,31.845,34.066,24.535,36.816
2.38,15.407,3.675,0.602,15.805,10.184,30.917,31.516,22.264,35.361
3.779,23.97,6.216,0.928,24.291,15.173,48.553,48.232,33.542,55.484
1.379,6.905,1.314,0.182,10.242,5.817,13.947,20.092,12.957,15.322
0.393,3.746,1.098,0.018,2.157,2.567,7.955,5.279,5.944,8.692
1.316,7.191,1.222,0.19,10.277,5.653,15.264,20.157,12.332,16.654
1.968,13.648,3.851,0.522,12.022,8.421,28.018,24.608,19.561,32.332
1.575,13.399,3.838,0.496,9.212,6.814,27.516,19.509,16.448,31.912
2.841,19.365,4.974,0.8,17.988,11.566,39.484,36.239,25.847,45.386
3.217,21.217,5.676,0.859,20.858,12.881,42.927,41.401,28.632,48.954
1.527,8.993,2.031,0.213,10.517,6.817,18.323,20.755,15.416,20.299
2.029,11.639,2.77,0.437,13.831,8.522,23.849,27.779,18.535,27.448
1.981,12.213,2.722,0.422,13.28,7.981,24.691,26.614,17.868,27.917
0.385,3.789,1.208,0.055,2.347,1.887,8.166,5.52,4.688,9.414
0.193,1.928,0.37,0.01,1.236,1.071,3.927,3.243,2.739,4.411
2.528,18.506,5.43,0.79,15.191,10.508,37.503,30.873,24.725,43.725
1.282,8.576,1.885,0.275,8.421,5.976,17.808,17.076,13.821,20.408
2.303,18.166,5.274,0.718,13.841,9.74,36.904,28.041,22.516,42.22
1.834,12.235,3.227,0.421,11.703,7.799,25.191,23.437,17.559,28.841
1.396,7.216,1.047,0.143,10.772,6.373,14.96,21.248,14.1,16.465
1.352,7.095,1.229,0.193,10.117,6.132,14.556,19.636,12.939,16.745
1.465,9.481,2.18,0.314,9.61,5.922,19.547,19.324,13.87,21.875
2.875,19.963,5.191,0.805,18.579,11.641,40.392,37.307,26.064,46.906
0.155,1.428,0.309,0.013,1.503,1.214,2.962,2.831,2.839,3.915
1.024,5.729,0.983,0.049,7.836,4.595,11.464,15.663,10.066,12.257
1.824,12.9,3.644,0.566,11.555,8.184,25.981,23.47,18.293,30.3
2.334,16.555,4.701,0.687,14.207,9.543,33.901,28.535,21.876,39.466
2.628,16.707,4.407,0.727,17.501,10.824,33.825,34.363,24.353,39.37
2.328,14.913,3.621,0.48,15.839,10.216,30.74,31.665,22.501,34.119
1.701,9.982,2.438,0.368,12.148,7.217,20.404,23.393,16.406,23.271
2.92,20.69,5.502,0.84,18.252,12.576,42.296,36.843,28.392,48.62
2.332,13.988,3.285,0.454,15.385,9.818,28.608,30.405,21.577,31.792
1.551,10.299,2.584,0.321,9.954,6.797,21.095,20.114,15.268,23.68
0.809,5.04,1.188,0.093,5.475,3.778,10.793,11.494,8.939,11.741
0.762,4.224,0.8,0.06,5.805,3.736,8.454,10.997,8.027,9.603
1.174,6.598,1.215,0.091,8.782,5.233,13.728,17.223,11.39,14.408
3.026,19.551,4.839,0.683,20.093,12.928,39.621,40.01,28.412,45.234
2.994,18.417,4.709,0.681,19.677,12.062,37.364,38.538,26.627,42.331
1.555,9.359,1.869,0.243,11.215,6.877,19.068,22.296,15.031,21.246
1.996,13.789,3.844,0.64,13.044,8.823,28.518,25.842,19.625,33.323
0.704,5.593,1.355,0.069,5.164,2.977,12.168,10.481,6.824,13.072
2.792,21.295,6.228,0.873,16.815,11.18,42.893,34.541,25.891,49.124
1.318,6.377,0.82,0.11,10.333,5.879,13.232,19.475,12.204,14.21
1.028,6.95,1.642,0.169,7.244,4.758,14.791,14.057,10.367,16.505
1.963,12.492,3.293,0.467,13.383,8.049,25.785,26.381,18.694,29.684
3.222,20.665,5.407,0.776,20.391,13.174,41.41,40.579,29.48,47.787
2.776,20.762,5.783,0.854,17.004,11.309,41.88,33.915,25.95,48.589
1.592,9.023,1.772,0.21,11.8,6.451,18.354,23.139,13.886,20.72
0.905,4.548,0.906,0.077,7.053,4.106,9.202,13.845,9.564,10.318
2.446,17.924,4.81,0.789,15.7,10.459,35.903,31.591,24.13,42.009
1.808,14.788,4.205,0.548,10.708,7.507,30.191,21.935,17.481,34.683
2.631,19.934,5.578,0.786,15.654,11.385,40.746,31.953,26.119,46.422
2.983,21.849,6.037,0.92,17.887,12.147,44.577,36.231,27.943,51.684
2.416,13.864,3.06,0.481,16.324,10.472,28.007,32.31,22.883,31.601
1.602,11.732,3.001,0.46,10.654,7.218,24.082,21.452,16.254,27.947
2.242,15.043,4.055,0.599,14.837,9.274,30.936,29.496,21.244,36.06
2.194,15.568,4.359,0.599,14.106,9.64,31.173,28.701,21.512,36.252
1.711,12.239,3.323,0.504,10.765,7.325,25.157,21.881,16.591,29.078
1.136,9.233,2.464,0.307,6.72,4.889,19.118,14.122,11.011,21.98
1.985,13.54,3.323,0.541,13.131,8.535,27.425,26.12,18.816,32.034
3.089,21.799,5.959,0.925,19.24,12.65,44.117,38.293,28.484,50.682
3.818,24.585,6.215,0.971,24.387,15.825,49.226,48.815,34.936,56.454
